Districts,% Children (Age 3-5) in Anganwadi or School,% Children (Age: 6-14) Out of School,% Children (Age: 6-14) Private school,% Mothers Who CAN READ,"% Children (Std 1-2) who CAN read letters, words or more",% Children (Std 1-2) who CAN recognize numbers or more,% Children (Std 3-5) who CAN read Level 1 (Std 1) text or more,% Children (Std 3-5) who CAN do substraction or more
Belgaum,93.9,3.1,18.5,52.7,83.7,73,71.1,46.7
Bagalkot,94.4,7.1,13.6,31.8,65.6,45.4,38.7,29.8
Bijapur,98.4,8.6,6.4,28.3,63.6,49.7,54.5,47.7
Gulbarga,67.6,18,6.6,19.6,73.1,59.9,44.4,32.6
Bidar,90.1,2.2,22.8,44.9,74.6,71.7,49.4,41.3
Raichur,64.9,15.5,4,20.2,48.8,36.3,47.4,44.2
Koppal,88.9,9.8,10.9,21.8,66.3,57.8,48.8,42.6
Gadag,89.6,7.7,8.5,39.1,66.9,39.4,35.4,22.3
Dharwad,90.2,2.6,9.7,41.9,59.3,42.4,44.4,19.3
Uttara Kannada,88.8,1.8,2.8,52.8,97,79.9,59.1,62.5
Haveri,92.8,2.8,8.3,43.4,71.3,60.1,54.2,38.1
Bellary,86.8,6.9,12.4,25.4,67.3,48.5,45.5,36.5
Chitradurga,85.5,2.6,9.1,44.7,94.2,76.6,51.9,52.7
Davanagere,86.8,4.1,22.7,39.5,79.2,59.7,56.7,34.4
Shimoga,74.6,2.2,16.3,51,94.8,85.9,68.9,63.4
Udupi,88.1,0.5,39.6,73,92.2,87.5,89.2,81.5
Chickmagalur,90.8,2.8,21.6,62.6,92.1,91.4,61.6,55.3
Tumkur,88.6,0.9,15.3,45.7,86.1,62.3,60.6,39.4
Kolar,98,1,19.8,49.3,78.2,36.4,54.5,38.3
Bangalore,84.7,2,42,53.7,71,64.1,57.6,57.1
Bangalore Rural,91.6,2.6,19.8,51.6,79.8,75.3,60.2,55.5
Mandya,85.5,1.2,15.6,49.8,91.8,68,42,48.2
Hassan,90.8,1.7,20.4,55.9,91.7,76,59.1,62.5
Dakshina Kannada,90.8,0.9,37.6,80.5,93.4,81.6,82,59.2
Kodagu,96.3,1.4,21.8,66.7,97.2,90.1,80.5,59.8
Mysore,84.5,1.4,22.2,43.5,83.7,59.7,54.4,52.5
Chamaraj Nagar,95.9,1.3,12.5,36.6,84.5,70.5,52.6,37.5
Total,87,4.9,16,44.5,78.4,63.5,56.1,45.9
